name,address,latitude,longitude
Queen Anne Gym,1431 2nd Ave N,47.632023,-122.353265
Beacon Hill Int'l,2025 14th Ave. S,47.585469,-122.315105
Louisa Boren STEM,5950 Delridge Way SW,47.548620,-122.362141
Concord Int'l,723 S Concord St.,47.523611,-122.324691
Cleveland STEM,5511 15th Ave S,47.552372,-122.313912
Nathan Hale,10750 30th Ave NE,47.707629,-122.294531
Roxhill at E.C. Hughes,7740 34th Ave SW,47.532838,-122.374927
Olympic Hills,13018 20th Ave NE,47.723686,-122.306755
Kimball,3200 23rd Ave S,47.574045,-122.303014
Aki Kurose,3928 S Graham St,47.546322,-122.281980
Catharine Blaine K-8,2550 34th Ave W,47.642257,-122.399262
Hay,201 Garfield St,47.632898,-122.351717
Dearborn Park Int'l,2820 S Orcas St,47.552262,-122.296287
Decatur,7711 43rd Ave NE,47.685025,-122.282662
Sanislo,1812 SW Myrtle St,47.539608,-122.358658
Ingraham Int'l,1819 N 135th St,47.725699,-122.336838
Whittier,1320 NW 75th St,47.683590,-122.373075
Cascadia,1700 N 90th St,47.695178,-122.337196
John Rogers,4030 NE 109th St,47.707426,-122.284634
Lawton,4000 27th Ave W,47.656712,-122.390475
Thornton Creek,7712 40th Ave NE,47.685655,-122.284300
Graham Hill,5149 S Graham St,47.545757,-122.268534
Hamilton Int'l,1610 N 41st St,47.657080,-122.338028
North Beach,9018 24th Ave NW,47.694975,-122.387036
Highland Park,1012 SW Trenton St,47.525177,-122.348277
Salmon Bay K-8,1810 NW 65th St,47.676297,-122.380512
John Muir,3301 S Horton St,47.573241,-122.290580
BRIDGES,9430 30th Ave SW,47.518053,-122.370558
Dunlap,4525 S Cloverdale St,47.524989,-122.274656
Roosevelt,1410 NE 66th St,47.677231,-122.312810
Coe,2424 7th Ave W,47.640516,-122.365599
Genesee Hill,5013 SW Dakota St,47.565493,-122.396889
Cedar Park,3737 NE 135th St,47.726058,-122.287467
West Seattle High,3000 California Ave SW,47.576780,-122.384591
Adams,6110 28th Ave NW,47.673632,-122.391520
Fairmount Park,3800 SW Findlay St,47.552573,-122.380191
Wing Luke,7201 Beacon Ave S,47.538091,-122.295913
