name,address,latitude,longitude
BROADVIEW,12755 GREENWOOD AV N,47.723004,-122.356032
LAKE CITY,12501 28TH AV NE,47.719861,-122.298087
MAGNOLIA,2801 34TH AV W,47.645316,-122.401344
QUEEN ANNE,400 W GARFIELD ST,47.633781,-122.362744
FREMONT,731 N 35TH ST,47.650068,-122.348400
GREEN LAKE,7364 E GREEN LAKE DR N,47.681501,-122.326717
GREENWOOD,8016 GREENWOOD AV N,47.687497,-122.354965
UNIVERSITY,5009 ROOSEVELT WY NE,47.665236,-122.317868
MADRONA-SALLY GOLDMARK,1134 33RD AV,47.612674,-122.290014
MONTLAKE,2401 24TH AV E,47.640566,-122.302394
NORTHEAST,6801 35TH AV NE,47.677854,-122.290711
SOUTHWEST,9010 35TH AV SW,47.522442,-122.376182
WEST SEATTLE,2306 42ND AV SW,47.582695,-122.384757
BEACON HILL,2821 BEACON AV S,47.578046,-122.311407
COLUMBIA,4721 RAINIER AV S,47.559947,-122.286879
RAINIER BEACH,9125 RAINIER AV S,47.521356,-122.270465
TALKING BOOK & BRAILLE,2021 9TH AV,47.616680,-122.336823
WALLINGFORD,1501 N 45TH ST,47.661174,-122.339104
DOUGLASS-TRUTH,2300 E YESLER WAY,47.601903,-122.301832
CAPITOL HILL,425 HARVARD AV E,47.622914,-122.322451
NEWHOLLY,7058 32ND AV S,47.538994,-122.290951
HIGH POINT,3411 SW RAYMOND ST,47.548042,-122.375814
CENTRAL,1000 4TH AV,47.606485,-122.332968
DELRIDGE,5423 DELRIDGE WAY SW,47.553047,-122.363319
NORTHGATE,10548 5TH AV NE,47.706193,-122.322677
MOBILE SERVICES,2025 9TH AV,47.616804,-122.337025
INTL. DISTRICT / CHINATOWN,713 8TH AV S,47.596249,-122.322834
BALLARD,5614 22ND AV NW,47.669843,-122.384204
SOUTH PARK,8604 8TH AV S,47.526265,-122.322591
,,,
,,,
